# Image Size: 128x128
# Format: (R, G, B) per line
(191, 208, 216)
(189, 207, 217)
(191, 211, 220)
(189, 209, 218)
(193, 211, 221)
(191, 209, 218)
(194, 214, 221)
(187, 212, 216)
(193, 212, 218)
(199, 211, 219)
(199, 211, 219)
(196, 213, 219)
(195, 214, 220)
(198, 217, 223)
(197, 212, 221)
(201, 218, 226)
(198, 217, 223)
(199, 220, 226)
(199, 218, 225)
(201, 219, 229)
(200, 217, 228)
(202, 221, 228)
(203, 222, 229)
(202, 219, 226)
(204, 220, 227)
(207, 222, 229)
(209, 224, 231)
(206, 222, 229)
(206, 224, 230)
(212, 225, 233)
(212, 222, 231)
(210, 223, 231)
(208, 223, 230)
(206, 223, 230)
(207, 223, 232)
(210, 224, 235)
(208, 224, 234)
(208, 225, 232)
(210, 225, 232)
(211, 227, 234)
(208, 227, 233)
(210, 227, 234)
(213, 225, 233)
(211, 226, 231)
(210, 225, 231)
(214, 228, 237)
(209, 223, 232)
(219, 231, 237)
(142, 148, 148)
(80, 78, 74)
(94, 84, 75)
(111, 94, 84)
(127, 108, 101)
(136, 114, 107)
(147, 124, 112)
(156, 130, 112)
(166, 139, 121)
(166, 140, 125)
(173, 149, 138)
(184, 161, 151)
(195, 173, 162)
(192, 170, 159)
(194, 169, 164)
(197, 173, 165)
(187, 166, 153)
(190, 171, 158)
(196, 178, 168)
(194, 178, 170)
(185, 170, 163)
(179, 161, 152)
(185, 169, 159)
(186, 172, 161)
(189, 173, 165)
(189, 171, 161)
(193, 176, 166)
(194, 177, 167)
(199, 180, 171)
(199, 180, 173)
(198, 177, 175)
(201, 179, 179)
(198, 178, 177)
(201, 184, 178)
(201, 183, 178)
(200, 179, 177)
(197, 179, 171)
(198, 183, 172)
(196, 182, 172)
(200, 184, 178)
(198, 176, 173)
(197, 173, 171)
(197, 180, 173)
(191, 174, 164)
(189, 171, 159)
(191, 171, 160)
(186, 165, 152)
(183, 164, 151)
(180, 161, 149)
(175, 159, 146)
(166, 155, 142)
(163, 149, 138)
(165, 139, 132)
(163, 132, 126)
(162, 132, 124)
(160, 135, 123)
(170, 148, 133)
(178, 154, 140)
(184, 159, 147)
(189, 165, 154)
(190, 169, 159)
(199, 180, 171)
(198, 176, 169)
(202, 180, 170)
(208, 188, 173)
(216, 199, 181)
(215, 197, 181)
(215, 197, 185)
(217, 199, 187)
(214, 202, 187)
(214, 202, 186)
(218, 203, 188)
(219, 201, 187)
(216, 197, 183)
(218, 200, 185)
(210, 193, 176)
(207, 182, 171)
(188, 171, 154)
(150, 147, 136)
(120, 131, 134)
(191, 208, 216)
(189, 208, 217)
(192, 214, 221)
(189, 209, 217)
(192, 211, 220)
(191, 210, 217)
(192, 212, 218)
(189, 214, 218)
(193, 212, 219)
(197, 211, 220)
(197, 210, 218)
(196, 213, 220)
(195, 214, 221)
(198, 216, 223)
(199, 215, 223)
(200, 218, 225)
