# Image Size: 128x128
# Format: (R, G, B) per line
(190, 207, 216)
(189, 208, 217)
(191, 211, 220)
(190, 209, 218)
(194, 212, 222)
(190, 209, 217)
(194, 215, 222)
(188, 212, 216)
(195, 212, 219)
(199, 210, 219)
(199, 213, 221)
(194, 212, 218)
(197, 215, 222)
(196, 214, 221)
(198, 214, 222)
(199, 217, 224)
(199, 220, 224)
(200, 221, 227)
(198, 217, 224)
(201, 219, 230)
(200, 217, 228)
(203, 222, 229)
(202, 219, 226)
(203, 220, 227)
(205, 220, 227)
(208, 223, 230)
(208, 223, 230)
(206, 223, 230)
(208, 224, 230)
(213, 225, 233)
(210, 221, 230)
(210, 223, 231)
(208, 224, 231)
(206, 223, 230)
(212, 227, 238)
(208, 222, 233)
(210, 226, 235)
(204, 221, 227)
(213, 228, 234)
(209, 226, 232)
(207, 227, 232)
(210, 223, 231)
(212, 226, 233)
(210, 225, 230)
(210, 225, 232)
(213, 227, 236)
(215, 227, 236)
(220, 232, 237)
(88, 91, 89)
(84, 79, 74)
(100, 88, 78)
(117, 99, 90)
(132, 112, 105)
(139, 117, 107)
(151, 127, 113)
(160, 133, 116)
(166, 139, 122)
(167, 142, 128)
(177, 154, 143)
(188, 164, 154)
(193, 171, 160)
(192, 169, 160)
(196, 171, 166)
(196, 172, 163)
(188, 167, 154)
(192, 174, 162)
(193, 176, 168)
(191, 176, 168)
(178, 162, 154)
(180, 162, 152)
(187, 172, 161)
(186, 172, 162)
(188, 171, 163)
(186, 168, 158)
(192, 175, 165)
(193, 176, 166)
(199, 180, 171)
(199, 178, 174)
(199, 178, 177)
(198, 177, 176)
(200, 181, 178)
(201, 184, 177)
(201, 181, 178)
(196, 177, 172)
(194, 178, 169)
(196, 182, 171)
(196, 180, 172)
(199, 181, 177)
(197, 173, 171)
(193, 174, 169)
(197, 180, 172)
(190, 173, 162)
(184, 166, 154)
(187, 166, 155)
(184, 163, 151)
(180, 162, 150)
(179, 159, 148)
(171, 157, 143)
(162, 151, 139)
(164, 146, 136)
(164, 137, 130)
(163, 133, 126)
(159, 131, 123)
(162, 139, 125)
(173, 151, 136)
(178, 153, 140)
(186, 161, 149)
(188, 165, 154)
(193, 172, 162)
(198, 179, 170)
(199, 177, 170)
(204, 183, 171)
(210, 192, 175)
(215, 198, 180)
(212, 194, 179)
(215, 197, 185)
(218, 202, 189)
(213, 204, 186)
(214, 202, 186)
(218, 202, 187)
(217, 198, 184)
(216, 197, 183)
(216, 199, 182)
(208, 189, 174)
(204, 180, 168)
(179, 166, 151)
(127, 133, 127)
(118, 130, 136)
(189, 207, 215)
(188, 208, 216)
(191, 212, 220)
(190, 210, 218)
(193, 212, 220)
(191, 210, 216)
(192, 213, 219)
(189, 213, 218)
(196, 214, 221)
(197, 210, 219)
(196, 212, 220)
(194, 213, 220)
(197, 216, 223)
(198, 215, 223)
(199, 216, 224)
(199, 218, 224)
(197, 218, 223)
(196, 217, 223)
(196, 215, 223)
(202, 220, 230)
(201, 218, 228)
(204, 221, 229)
(203, 220, 228)
(205, 222, 229)
(205, 221, 228)
(206, 222, 229)
(205, 221, 228)
(206, 224, 231)
(205, 222, 229)
(209, 222, 230)
(209, 222, 230)
(210, 223, 231)
(209, 225, 232)
