35AE 0000 1DA7 2CF7 36ED 0000 0000 1FA6 13C1 1EE6 0000 1E0C 0000 1844 0000 5BEF 0000 1B0B 0000 17D9 13EF 25C0 0000 0000
35AE FFF6 1C61 2CF7 36EF E066 FFFA 1FA8 13BC 1EE7 FFB0 1D7D FFD1 173A DB71 5BCE FFFE 1AAF FFFB 17D9 13EF 25CC EC8E FFFA
35AF FFF6 1C62 2CF6 36F0 E067 FFFA 1FA9 13C0 1EE7 FFB0 1D7D FFD1 173C DB6C 5BCE FFFE 1AA8 FFFB 17DA 13F2 25CC EC8C FFFA
35AF FFF6 1C62 2CF5 36F2 E06A FFFA 1FAA 13C1 1EE5 FFB0 1D7C FFD1 173E DB6B 5BCB FFFE 1AA7 FFFB 17DA 13F4 25D2 EC8B FFFA
35AE FFF6 1C5D 2CF5 36F2 E06A FFFA 1FAC 13C0 1EE5 FFB0 1D7C FFD1 173D DB68 5BC8 FFFE 1AAB FFFB 17DA 13F4 25D2 EC8A FFFA
35AC FFF6 1C5D 2CF7 36F4 E06C FFFA 1FAD 13C0 1EE5 FFB0 1D78 FFD1 173D DB68 5BC6 FFFE 1AA6 FFFB 17D7 13F4 25C0 EC8C FFFA
35AC FFF6 1C5D 2CF8 36F6 E06D FFFA 1FAE 13CB 1EE5 FFB0 1D76 FFD1 1746 DB66 5BC3 FFFE 1AA5 FFFB 17D7 13FA 25C0 EC8E FFFA
35AB FFF6 1C73 2CFC 3702 E076 FFFA 1FB8 13D0 1EE4 FFB0 1D71 FFD1 1754 DB65 5BC2 FFFE 1AA0 FFFB 17D3 13FA 25C0 EC95 FFFA
35A7 FFF6 1C73 2CFF 3715 E082 FFFA 1FC1 13D0 1EE3 FFB0 1D87 FFD1 1754 DB62 5BB9 FFFE 1AA5 FFFB 17C9 13EE 25BE EC98 FFFA
35C5 FFF6 1C66 2D01 3715 E082 FFFA 1FC1 1496 1EF7 FFB0 1DBA FFD1 17B1 DB95 5BE5 FFFE 1A9E FFFB 185C 14BD 25BE EC98 FFFA
35C5 FFF6 1C4F 2D03 36E8 E063 FFFA 1FBC 14DE 1EF4 FFB0 1D7C FFD1 17E5 DB95 5BE5 FFFE 1A3D FFFB 17D9 147E 2585 EC98 FFFA
35B1 FFF6 1C61 2D03 36DF E064 FFFA 1FC2 14E6 1EE5 FFB0 1D4F FFD1 17F0 DB94 5BE5 FFFE 19C8 FFFB 1752 147E 2580 EC96 FFFA
35AE FFF6 1C61 2CFC 36F3 E072 FFFA 1FCB 14DF 1EE6 FFB0 1D5A FFD1 17F0 DB83 5BD3 FFFE 19D6 FFFB 174F 1464 2586 EC8B FFFA
35B0 FFF6 1C58 2D00 36FD E079 FFFA 1FCD 14C8 1EE6 FFB0 1D5C FFD1 17E4 DB6C 5BC0 FFFE 19E4 FFFB 1762 1476 25A0 EC91 FFFA
35B4 FFF6 1C58 2D02 3709 E083 FFFA 1FCE 14AF 1EE8 FFB0 1D94 FFD1 17E4 DB5F 5BB8 FFFE 19EE FFFB 1794 1461 25B7 EC91 FFFA
35B5 FFF6 1C50 2D02 3709 E082 FFFA 1FCF 14B0 1EEB FFB0 1D8D FFD1 17CA DB53 5BB3 FFFE 19FA FFFB 1780 1483 25B7 EC90 FFFA
35BE FFF6 1C50 2CFC 3709 E081 FFFA 1FCF 14CE 1EEE FFB0 1D76 FFD1 17BB DB64 5BCA FFFE 19FA FFFB 17A6 14B8 25A1 EC8A FFFA
35BE FFF6 1C62 2D04 36F7 E074 FFFA 1FCA 14F9 1EF0 FFB0 1D6C FFD1 1805 DB89 5BD8 FFFE 19CF FFFB 17A6 14C5 2580 EC97 FFFA
35AD FFF6 1C62 2D04 36F4 E073 FFFA 1FCC 14F9 1EE4 FFB0 1D5D FFD1 1805 DB89 5BD5 FFFE 19CF FFFB 1754 1476 2586 EC97 FFFA
35AF FFF6 1C4D 2CFF 36F8 E077 FFFA 1FCE 14E3 1EE6 FFB0 1D59 FFD1 17E5 DB6E 5BC1 FFFE 19C8 FFFB 1754 1476 2587 EC90 FFFA
35B2 FFF6 1C4D 2CFE 36FE E07B FFFA 1FD0 14D8 1EE9 FFB0 1D59 FFD1 17DD DB64 5BBA FFFE 19CE FFFB 1763 1475 2587 EC8D FFFA
35B0 FFF6 1C50 2CFD 3704 E07E FFFA 1FD0 14C6 1EE9 FFB0 1D61 FFD1 17D2 DB5C 5BB5 FFFE 19E2 FFFB 1766 1475 2596 EC8F FFFA
35B0 FFF6 1C52 2CFF 370B E084 FFFA 1FD1 14B6 1EE6 FFB0 1D70 FFD1 17C8 DB59 5BB1 FFFE 19FD FFFB 1786 1468 25B0 EC90 FFFA
35B5 FFF6 1C55 2D2B 370B E084 FFFA 1FD0 1492 1EF3 FFB0 1D70 FFD1 17BC DB54 5BB9 FFFE 1A57 FFFB 17C9 1470 25C1 ECDD FFFA
35E3 FFF6 1C97 2D8A 3703 E07E FFFA 1FC5 148D 1F11 FFB0 1D78 FFD1 17E7 DBBE 5BFD FFFE 1A65 FFFB 1866 14D2 25C1 ED58 FFFA
35C2 FFF6 1D32 2D5A 3708 E071 FFFA 1FC6 148F 1EFE FFB0 1D7F FFD1 17E7 DBBE 5BFD FFFE 1AD8 FFFB 17B2 1477 25B6 ED14 FFFA
35B7 FFF6 1D32 2D7A 373D E0A2 FFFA 1FD8 1484 1EE7 FFB0 1D97 FFD1 17E7 DBA4 5BEF FFFE 1AD8 FFFB 17DB 1477 25C2 ED44 FFFA
35AB FFF6 1CFF 2D81 373D E0A2 FFFA 1FD8 1406 1EE0 FFB0 1D92 FFD1 17C2 DBA4 5BE5 FFFE 1ACC FFFB 17DC 13EA 25C2 ED5A FFFA
35AB FFF6 1C8F 2D32 373D E0A2 FFFA 1FD8 13AB 1EE0 FFB0 1D92 FFD1 175E DB2B 5B81 FFFE 1AB5 FFFB 17DC 13EA 25C2 ECF3 FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1733 DB10 5B71 FFFE 1AA6 FFFB 17DC 13EA 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
35AB FFF6 1C52 2CF5 373D E0A2 FFFA 1FD8 13A4 1EE0 FFB0 1D8B FFD1 1732 DB10 5B71 FFFE 1AA6 FFFB 17DC 13E9 25C2 EC8B FFFA
