35AE 0000 1D98 2CF5 36E8 0000 0000 1FA3 13C2 1EE6 0000 1E05 0000 183C 0000 5BF5 0000 1B06 0000 17D5 13ED 25BE 0000 0000
35AE FFF6 1C61 2CF6 36EA E063 FFFA 1FA5 13BF 1EE7 FFB0 1D7A FFD1 173B DB77 5BD5 FFFE 1AAA FFFB 17D5 13F0 25D2 EC8D FFFA
35AD FFF6 1C61 2CF5 36EB E064 FFFA 1FA6 13C4 1EE6 FFB0 1D78 FFD1 173E DB75 5BD1 FFFE 1AAA FFFB 17D6 13F2 25C6 EC8D FFFA
35AD FFF6 1C6A 2CF8 36F2 E069 FFFA 1FAB 13BF 1EE5 FFB0 1D76 FFD1 1741 DB70 5BCF FFFE 1AAF FFFB 17D3 13EF 25C6 EC8F FFFA
35A9 FFF6 1C6A 2CFC 36FC E071 FFFA 1FB1 13BF 1EE4 FFB0 1D7D FFD1 1741 DB6A 5BC8 FFFE 1AAE FFFB 17D2 13F4 25C4 EC96 FFFA
35A6 FFF6 1C6A 2D01 3707 E079 FFFA 1FB9 13C4 1EDF FFB0 1D7D FFD1 1748 DB65 5BC5 FFFE 1AAE FFFB 17D0 13F4 25C4 EC9C FFFA
35A3 FFF6 1C69 2D04 3713 E082 FFFA 1FBF 13C4 1EDB FFB0 1D85 FFD1 174F DB62 5BBF FFFE 1AAA FFFB 17D0 13F3 25C4 ECA2 FFFA
35AB FFF6 1C72 2D03 371E E08A FFFA 1FC5 13C4 1EE4 FFB0 1D9F FFD1 1752 DB5D 5BB6 FFFE 1AAC FFFB 17F5 13FE 25C7 ECA1 FFFA
35E2 FFF6 1C6C 2CFF 371E E08A FFFA 1FC5 14A8 1F0C FFB0 1DC3 FFD1 17C5 DB8D 5BE2 FFFE 1AAA FFFB 1866 14C7 25BF EC9B FFFA
35E2 FFF6 1C5A 2D05 36EE E06B FFFA 1FBD 14D2 1F0C FFB0 1D82 FFD1 17D9 DB91 5BE5 FFFE 1A1A FFFB 1839 14BB 2583 EC98 FFFA
35AE FFF6 1C57 2D05 36E6 E069 FFFA 1FC4 14E0 1EE5 FFB0 1D59 FFD1 17E9 DB8C 5BE0 FFFE 19D1 FFFB 1760 1481 2585 EC98 FFFA
35AE FFF6 1C55 2D05 36F2 E071 FFFA 1FC9 14E1 1EE4 FFB0 1D5D FFD1 17E9 DB83 5BD6 FFFE 19CC FFFB 174E 1478 258C EC98 FFFA
35AC FFF6 1C54 2D05 36FA E077 FFFA 1FCD 14D7 1EE4 FFB0 1D62 FFD1 17E2 DB74 5BC9 FFFE 19CC FFFB 1754 1470 259F EC98 FFFA
35B2 FFF6 1C52 2CFF 3703 E07D FFFA 1FD1 14CC 1EE6 FFB0 1D6B FFD1 17DF DB67 5BBE FFFE 19CD FFFB 175D 1468 259F EC90 FFFA
35B2 FFF6 1C4D 2CFD 3706 E07F FFFA 1FD1 14BD 1EE8 FFB0 1D67 FFD1 17D2 DB57 5BB1 FFFE 19E5 FFFB 177A 1468 2599 EC8C FFFA
35B5 FFF6 1C44 2CFB 3706 E07F FFFA 1FD0 14BC 1EEB FFB0 1D78 FFD1 17C2 DB59 5BBA FFFE 19E5 FFFB 178F 1495 259C EC8B FFFA
35BF FFF6 1C83 2D00 36FD E079 FFFA 1FCC 1502 1EF4 FFB0 1D78 FFD1 1834 DBA0 5BE2 FFFE 19C2 FFFB 17B1 14ED 2592 EC8C FFFA
35BD FFF6 1C83 2D00 36F9 E077 FFFA 1FCC 1502 1EEF FFB0 1D67 FFD1 1834 DBA0 5BE2 FFFE 19DF FFFB 1763 14A0 2597 EC91 FFFA
35B2 FFF6 1C5A 2D00 36FF E07A FFFA 1FCE 14C1 1EE9 FFB0 1D72 FFD1 17D6 DB67 5BBC FFFE 19DF FFFB 1767 1479 25A2 EC91 FFFA
35B1 FFF6 1C4E 2CFF 36FE E07A FFFA 1FCE 14C4 1EE7 FFB0 1D60 FFD1 17CF DB5F 5BB8 FFFE 19D4 FFFB 1769 1479 2593 EC8F FFFA
35AE FFF6 1C4E 2CFD 3705 E07E FFFA 1FCF 14B6 1EE7 FFB0 1D64 FFD1 17CF DB5E 5BB5 FFFE 19ED FFFB 1769 146B 25A1 EC8F FFFA
