17A3 035B DB47 2275 0636 0755 FD7F 0000 0128 0000 E408 13D1 7FFF 0000 C8E3 084A 8000 0B11 9FF1 0163 B750 0000 8FF2 0064
12F1 048C DB71 5382 033D 06E3 F890 0000 026D 0000 E9D6 16C4 7FFF 0000 C254 067F 8000 0E1C 9294 0285 9C9A 0000 8B38 0133
12D9 048E DB6E 538C 033C 06E5 F897 0000 026D 0000 E9D6 16CC 7FFF 0000 C25A 067C 8000 0E0D 9278 0281 9C4D 0000 8B38 013B
12D4 048D DB6D 5387 033C 06E6 F897 0000 026C 0000 E9D6 16CE 7FFF 0000 C25C 067A 8000 0E02 9273 027E 9C46 0000 8B39 013F
12D4 0491 DB6D 5385 033D 06E7 F897 0000 026C 0000 E9D8 16D0 7FFF 0000 C25C 067A 8000 0E00 9273 027D 9C46 0000 8B39 0140
12D4 0490 DB6D 5383 033D 06E6 F896 0000 026C 0000 E9D7 16CE 7FFF 0000 C25D 067A 8000 0E01 9273 027D 9C47 0000 8B39 013E
12D4 048C DB6D 5384 033D 06E5 F897 0000 026C 0000 E9D6 16CC 7FFF 0000 C25C 067B 8000 0E03 9273 027E 9C47 0000 8B3A 013E
12DE 04BF DB6F 5382 0340 06F5 F8A6 0000 026B 0000 E9C4 16D7 7FFF 0000 C25F 0680 8000 0E1A 9296 027E 9C6D 0000 8B3F 012A
12C1 04E4 DB6F 53A2 033F 0702 F8BE 0000 0268 0000 E9CE 16E1 7FFF 0000 C262 0681 8000 0E28 9280 0277 9C16 0000 8B42 011F
1298 04CC DB6A 5393 033B 06F4 F8B9 0000 0267 0000 E9C8 16E2 7FFF 0000 C261 067B 8000 0DF4 923F 0275 9B97 0000 8B3F 0143
12C9 0490 DB6F 5391 033E 06E9 F8A3 0000 026A 0000 E9E4 16CF 7FFF 0000 C25D 067A 8000 0DF6 9278 0274 9C4A 0000 8B42 013F
12E9 048D DB71 5381 033F 06E7 F88B 0000 026E 0000 E9EB 16C2 7FFF 0000 C25A 067C 8000 0E0B 929A 027A 9CA4 0000 8B3D 0137
12E8 0494 DB72 5380 033C 06E6 F890 0000 026E 0000 E9E7 16C2 7FFF 0000 C252 067C 8000 0E0C 929B 027B 9C9D 0000 8B3D 0137
12DC 04A3 DB70 5399 0341 06E9 F89A 0000 026D 0000 E9E7 16C8 7FFF 0000 C264 067B 8000 0E09 9298 027A 9C73 0000 8B3F 0138
12F0 0494 DB6E 53A9 034D 06E7 F894 0000 0270 0000 E9DB 16C5 7FFF 0000 C285 067B 8000 0E08 92BC 0277 9CC5 0000 8B43 0135
12F5 04D2 DB71 5371 0343 06F8 F88F 0000 0270 0000 E9CE 16E1 7FFF 0000 C266 067B 8000 0DF6 92B1 0276 9CAE 0000 8B3D 013F
